Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_48_7,VGND,li1,9.2000,141.4400,0.000024
FILLER_47_327,VGND,li1,156.8600,141.4400,0.000150
FILLER_47_315,VGND,li1,153.1800,141.4400,0.000150
FILLER_47_303,VGND,li1,147.6600,141.4400,0.000149
FILLER_47_288,VGND,li1,139.8400,141.4400,0.000149
FILLER_47_272,VGND,li1,132.4800,141.4400,0.000148
FILLER_47_256,VGND,li1,124.2000,141.4400,0.000147
FILLER_47_244,VGND,li1,120.5200,141.4400,0.000146
FILLER_47_234,VGND,li1,113.3900,141.4400,0.000144
FILLER_47_228,VGND,li1,111.7800,141.4400,0.000143
FILLER_47_216,VGND,li1,105.3400,141.4400,0.000140
FILLER_47_208,VGND,li1,103.0400,141.4400,0.000139
FILLER_47_169,VGND,li1,84.6400,141.4400,0.000128
FILLER_47_167,VGND,li1,82.5700,141.4400,0.000126
FILLER_47_161,VGND,li1,80.9600,141.4400,0.000123
FILLER_47_131,VGND,li1,66.2400,141.4400,0.000107
FILLER_47_111,VGND,li1,56.8100,141.4400,0.000089
FILLER_47_107,VGND,li1,55.6600,141.4400,0.000089
FILLER_47_88,VGND,li1,47.3800,141.4400,0.000071
FILLER_47_76,VGND,li1,43.2400,141.4400,0.000066
FILLER_47_69,VGND,li1,37.9500,141.4400,0.000055
FILLER_47_57,VGND,li1,32.4300,141.4400,0.000040
FILLER_47_41,VGND,li1,24.8400,141.4400,0.000024
FILLER_47_30,VGND,li1,19.7800,141.4400,0.000024
FILLER_47_22,VGND,li1,17.4800,141.4400,0.000024
FILLER_47_10,VGND,li1,12.8800,141.4400,0.000024
FILLER_47_7,VGND,li1,8.9700,141.4400,0.000024
FILLER_47_3,VGND,li1,7.8200,141.4400,0.000024
FILLER_46_334,VGND,li1,159.3900,136.0000,0.000143
FILLER_46_305,VGND,li1,146.0500,136.0000,0.000141
FILLER_46_301,VGND,li1,144.9000,136.0000,0.000141
FILLER_46_276,VGND,li1,133.1700,136.0000,0.000136
FILLER_46_259,VGND,li1,126.0400,136.0000,0.000133
FILLER_46_251,VGND,li1,121.2100,136.0000,0.000129
FILLER_46_242,VGND,li1,117.5300,136.0000,0.000128
FILLER_46_234,VGND,li1,115.0000,136.0000,0.000126
FILLER_46_222,VGND,li1,110.4000,136.0000,0.000123
FILLER_46_210,VGND,li1,104.8800,136.0000,0.000119
FILLER_46_195,VGND,li1,95.4500,136.0000,0.000111
FILLER_46_166,VGND,li1,82.8000,136.0000,0.000099
FILLER_46_158,VGND,li1,78.4300,136.0000,0.000095
FILLER_46_146,VGND,li1,75.4400,136.0000,0.000090
FILLER_46_134,VGND,li1,68.5400,136.0000,0.000084
FILLER_46_122,VGND,li1,64.4000,136.0000,0.000078
FILLER_46_109,VGND,li1,55.8900,136.0000,0.000069
FILLER_46_83,VGND,li1,43.9300,136.0000,0.000053
FILLER_46_79,VGND,li1,42.7800,136.0000,0.000049
FILLER_46_67,VGND,li1,39.1000,136.0000,0.000046
FILLER_46_55,VGND,li1,33.5800,136.0000,0.000037
FILLER_46_41,VGND,li1,25.3000,136.0000,0.000024
