Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_132_345,VPWR,li1,166.9800,372.6400,1.799516
FILLER_132_333,VPWR,li1,161.4600,372.6400,1.799333
FILLER_132_321,VPWR,li1,155.9400,372.6400,1.799216
FILLER_132_309,VPWR,li1,150.4200,372.6400,1.799080
FILLER_132_302,VPWR,li1,145.8200,372.6400,1.798991
FILLER_132_290,VPWR,li1,141.6800,372.6400,1.798896
FILLER_132_273,VPWR,li1,131.5600,372.6400,1.798684
FILLER_132_265,VPWR,li1,129.2600,372.6400,1.798601
FILLER_132_253,VPWR,li1,124.6600,372.6400,1.798537
FILLER_132_246,VPWR,li1,120.0600,372.6400,1.798449
FILLER_132_212,VPWR,li1,103.9600,372.6400,1.798277
FILLER_132_200,VPWR,li1,100.2800,372.6400,1.798331
FILLER_132_173,VPWR,li1,85.7900,372.6400,1.798564
FILLER_132_165,VPWR,li1,83.2600,372.6400,1.798617
FILLER_132_153,VPWR,li1,78.6600,372.6400,1.798700
FILLER_132_141,VPWR,li1,73.1400,372.6400,1.798806
FILLER_132_139,VPWR,li1,69.6900,372.6400,1.798903
FILLER_132_133,VPWR,li1,68.0800,372.6400,1.798903
FILLER_132_121,VPWR,li1,63.9400,372.6400,1.798982
FILLER_132_109,VPWR,li1,58.4200,372.6400,1.799109
FILLER_132_97,VPWR,li1,52.9000,372.6400,1.799193
FILLER_132_85,VPWR,li1,47.3800,372.6400,1.799299
FILLER_132_83,VPWR,li1,43.9300,372.6400,1.799395
FILLER_132_77,VPWR,li1,42.3200,372.6400,1.799395
FILLER_132_65,VPWR,li1,38.1800,372.6400,1.799474
FILLER_132_53,VPWR,li1,32.6600,372.6400,1.799580
FILLER_132_41,VPWR,li1,27.1400,372.6400,1.799703
FILLER_132_29,VPWR,li1,21.6200,372.6400,1.799809
FILLER_132_27,VPWR,li1,18.1700,372.6400,1.799809
FILLER_132_15,VPWR,li1,15.1800,372.6400,1.799809
FILLER_132_3,VPWR,li1,9.6600,372.6400,1.799809
FILLER_131_809,VPWR,li1,378.1200,367.2000,1.799897
FILLER_131_797,VPWR,li1,374.9000,367.2000,1.799897
FILLER_131_785,VPWR,li1,369.3800,367.2000,1.799897
